										
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2023 08 31 00	1.33	5.79	9.1	19	0.31	51	1.29	6.73	17	0.0	22.82	358
2023 08 31 01	1.32	5.69	9.1	19	0.35	49	1.27	6.77	17	0.0	5.13	85
2023 08 31 02	1.29	5.66	9.1	19	0.31	54	1.26	6.59	17	0.0	5.13	85
2023 08 31 03	1.28	5.56	9.1	19	0.4	48	1.21	6.77	17	0.0	5.65	85
2023 08 31 04	1.25	5.55	9.1	19	0.33	54	1.21	6.57	17	0.0	22.24	0
2023 08 31 05	1.23	5.54	9.1	20	0.32	53	1.18	6.61	17	0.0	22.24	0
2023 08 31 06	1.2	5.54	9.1	19	0.3	55	1.16	6.51	17	0.0	22.82	358
2023 08 31 07	1.18	5.49	9.1	20	0.3	55	1.14	6.51	17	0.0	5.13	85
2023 08 31 08	1.16	5.33	9.1	20	0.36	51	1.11	6.63	17	0.0	22.82	358
2023 08 31 09	1.14	5.37	9.1	20	0.32	54	1.08	6.5	17	0.18	11.16	37
2023 08 31 10	1.12	5.32	9.1	20	0.34	52	1.06	6.62	17	0.0	22.82	358
2023 08 31 11	1.1	5.2	8.27	20	0.37	50	1.03	6.68	17	0.0	22.82	358
2023 08 31 12	1.08	5.12	8.27	20	0.37	49	1.01	6.67	17	0.0	24.11	358
2023 08 31 13	1.06	5.17	8.27	20	0.32	51	1.01	6.54	17	0.0	24.11	358
2023 08 31 14	1.04	5.18	8.27	20	0.31	50	0.99	6.5	17	0.0	4.67	85
2023 08 31 15	1.02	5.17	8.27	20	0.29	51	0.97	6.4	17	0.0	4.67	85
2023 08 31 16	0.99	5.16	8.27	20	0.28	51	0.95	6.39	17	0.0	4.67	85
2023 08 31 17	0.97	5.16	8.27	19	0.26	52	0.94	6.31	17	0.03	9.73	332
2023 08 31 18	0.95	5.18	8.27	19	0.23	54	0.92	6.18	18	0.03	9.74	332
2023 08 31 19	0.94	5.17	8.27	19	0.21	53	0.91	6.1	18	0.04	10.19	333
2023 08 31 20	0.92	5.06	8.27	19	0.23	49	0.89	6.09	18	0.04	10.15	333
2023 08 31 21	0.92	4.84	8.27	19	0.29	47	0.87	6.12	17	0.04	10.1	333
2023 08 31 22	0.92	4.59	8.27	20	0.34	48	0.85	6.02	16	0.04	10.02	333
2023 08 31 23	0.93	4.41	8.27	21	0.39	46	0.83	5.95	16	0.05	9.68	332
2023 09 01 00	0.94	4.27	8.27	22	0.45	45	0.82	5.89	15	0.05	9.66	333
2023 09 01 01	0.93	4.33	8.27	21	0.39	50	0.83	5.64	16	0.05	9.63	333
2023 09 01 02	0.91	4.35	8.27	21	0.38	50	0.82	5.65	16	0.05	9.6	333
2023 09 01 03	0.9	4.37	8.27	21	0.37	51	0.81	5.66	16	0.05	9.57	333
2023 09 01 04	0.88	4.35	7.52	21	0.37	50	0.8	5.64	16	0.07	10.79	351
2023 09 01 05	0.87	4.3	7.52	21	0.37	50	0.78	5.61	16	0.08	10.79	351
2023 09 01 06	0.86	4.3	7.52	21	0.34	50	0.79	5.52	17	0.08	10.8	351
2023 09 01 07	0.85	4.28	7.52	21	0.35	49	0.77	5.56	16	0.06	9.46	333
2023 09 01 08	0.85	4.23	7.52	21	0.37	49	0.76	5.55	15	0.06	9.19	332
2023 09 01 09	0.85	4.23	7.52	20	0.35	50	0.76	5.49	15	0.06	9.16	332
2023 09 01 10	0.85	4.21	7.52	20	0.37	48	0.76	5.58	15	0.06	9.03	333
2023 09 01 11	0.84	4.22	7.52	20	0.36	49	0.76	5.56	15	0.06	8.99	333
2023 09 01 12	0.84	4.23	7.52	20	0.35	49	0.76	5.56	15	0.06	8.96	333
2023 09 01 13	0.85	4.22	7.52	20	0.36	47	0.76	5.6	15	0.07	8.92	333
2023 09 01 14	0.84	4.21	7.52	20	0.36	46	0.76	5.55	15	0.07	8.9	333
2023 09 01 15	0.85	4.17	8.27	19	0.38	43	0.75	5.64	14	0.07	8.87	333
2023 09 01 16	0.85	4.14	8.27	19	0.39	42	0.75	5.59	14	0.07	8.91	333
2023 09 01 17	0.85	4.13	8.27	19	0.38	44	0.75	5.43	14	0.07	11.56	352
2023 09 01 18	0.83	4.32	8.27	18	0.22	55	0.8	4.97	16	0.07	11.54	352
2023 09 01 19	0.82	4.42	8.27	17	0.22	49	0.78	5.13	16	0.08	11.52	353
2023 09 01 20	0.8	4.47	8.27	17	0.18	47	0.77	5.08	16	0.08	11.5	353
2023 09 01 21	0.79	4.41	8.27	17	0.22	46	0.75	5.14	16	0.1	10.95	352
2023 09 01 22	0.79	4.3	8.27	17	0.25	45	0.74	5.14	15	0.1	11.07	354
2023 09 01 23	0.79	4.18	8.27	17	0.29	45	0.72	5.13	14	0.11	11.04	354
2023 09 02 00	0.78	4.29	7.52	17	0.19	56	0.74	4.79	16	0.11	11.0	354
2023 09 02 01	0.77	4.22	7.52	17	0.27	39	0.71	5.18	15	0.11	10.95	355
2023 09 02 02	0.78	4.01	7.52	17	0.34	39	0.69	5.14	13	0.12	10.81	353
2023 09 02 03	0.79	3.96	7.52	17	0.32	42	0.7	4.92	13	0.14	10.34	353
